Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"March Member Special","✨March Member Specials ✨","Paula's Choice Subscribers","06 Mar 2018 9:30 am",Tuesday,8849,8836,11,2,13,0,0,1322,14.96%,1703,100,1.13%,114,21,0,0,0,e9f945dff9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Signup + No Buys","Hi! Need Some Help? 😊","Marketing Exco List","14 Feb 2018 4:55 pm",Wednesday,4,4,0,0,0,0,0,4,100.00%,5,1,25.00%,3,0,0,0,0,49843fdafe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"February Ceramide Actual","✨Introducing Our New Ceramide-Enriched Moisturizer + CNY Specials ✨","Paula's Choice Subscribers","10 Feb 2018 10:00 am",Saturday,8642,8620,18,4,22,0,0,1740,20.19%,2935,421,4.88%,629,28,0,0,0,74e3e54737,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"February Ceramide Test","✨Introducing Our New Ceramide-Enriched Moisturizer + CNY Specials ✨","Marketing Exco List","10 Feb 2018 12:51 am",Saturday,4,4,0,0,0,0,0,3,75.00%,7,2,50.00%,6,0,0,0,0,d505998a85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"January Retinol Actual","😮Our Complete Retinol Guide + Specials! 😮","Paula's Choice Subscribers","27 Jan 2018 10:00 am",Saturday,8529,8493,15,21,36,0,0,2448,28.82%,4498,756,8.90%,1072,45,1,0,0,4c0f51d68c,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"January Retinol","😮Our Complete Retinol Guide + Specials! 😮","Marketing Exco List","26 Jan 2018 11:24 pm",Friday,3,3,0,0,0,0,0,2,66.67%,9,2,66.67%,6,0,0,0,0,8f5cd85ccb,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 20171224 - Skincare for Combination Skin","Skincare For Combination Skin ","Latest News","24 Dec 2017 10:00 pm",Sunday,2722,2718,4,0,4,0,0,617,22.70%,990,132,4.86%,155,8,0,0,0,19573e72c5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Xmas 2017","🎅12 Days of Christmas is Here🎅","Paula's Choice Subscribers","13 Dec 2017 12:00 pm",Wednesday,8156,8134,17,5,22,0,0,2056,25.28%,3771,514,6.32%,849,33,0,0,0,ab96e5685f,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Singles' Day Promo (copy 01)","🙏Black Friday + Cyber Weekend Specials Are Here!🙏","Paula's Choice Subscribers","24 Nov 2017 12:03 am",Friday,7331,7316,13,2,15,0,0,1676,22.91%,2914,465,6.36%,704,14,1,0,0,0bd7c0cf86,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 20171112 - 10 Easy Skincare Tips for Men with Oily Skin","10 Easy Skin Care Tips For Men With Oily Skin 👦","Latest News","12 Nov 2017 10:00 pm",Sunday,2724,2722,2,0,2,0,0,490,18.00%,694,57,2.09%,66,7,0,0,0,62b5723f52,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Singles' Day Promo","😍Spend $100+, Get $100+ On This Singles' Day: 11/11😍","Paula's Choice Subscribers","10 Nov 2017 11:45 pm",Friday,7357,7341,12,4,16,0,0,1416,19.29%,2429,270,3.68%,446,19,0,0,0,548bb66f4e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 20171105 - A Simple Guide To Skincare During Menopause","A Simple Guide To Skincare During Menopause","Latest News","05 Nov 2017 10:00 pm",Sunday,2725,2722,3,0,3,0,0,498,18.30%,784,81,2.98%,104,5,0,0,0,fadd6fa980,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Last Day Discover","😱Last Day To Get Your $15 Gift Code!😱","Paula's Choice Subscribers","31 Oct 2017 1:46 pm",Tuesday,7382,7357,19,6,25,0,0,1525,20.73%,2597,334,4.54%,469,23,0,0,0,a41ef19c74,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Perfect Cleansing Oil (actual)","😱Double Cleanse Like a Pro With Our New Perfect Cleansing Oil😱","Paula's Choice Subscribers","26 Oct 2017 11:00 am",Thursday,7794,7761,20,13,33,0,0,1815,23.39%,2826,269,3.47%,343,35,0,0,0,6fe375ecb4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Per,"😱Double Cleanse Like a Pro With Our New Perfect Cleansing Oil😱","Marketing Exco List","25 Oct 2017 9:42 pm",Wednesday,3,3,0,0,0,0,0,3,100.00%,4,1,33.33%,5,0,0,0,0,2421a0f1c3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 22102017 - 4 Reasons Why Double Cleansing Is Good For Your Skin","4 Reasons Why 💦 Double Cleansing 💦 Is Good For Your Skin ","Latest News","22 Oct 2017 10:00 pm",Sunday,2733,2733,0,0,0,0,0,693,25.36%,1129,239,8.74%,257,9,0,0,6261,0382b5566d,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 15102017 - How To Get Rid of Acne Marks Quickly and Easily","Get Rid of Acne Marks Quickly and Easily ✨","Latest News","15 Oct 2017 10:00 pm",Sunday,2734,2733,1,0,1,0,0,605,22.14%,1082,262,9.59%,276,2,0,0,6261,703a93d590,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 07102017 - The Ultimate Guide on Skin Purging","Breakouts vs. Purging, Do You Know The Difference❓","Latest News","07 Oct 2017 10:00 am",Saturday,2738,2738,0,0,0,0,0,607,22.17%,1039,220,8.04%,247,6,0,0,6261,92e093e811,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 30092017 - What does glycolic acid do for your skin","😏 This ingredient needs to be in your skincare routine","Latest News","30 Sep 2017 10:14 pm",Saturday,2745,2743,1,1,2,0,0,668,24.35%,1050,131,4.78%,144,7,0,0,6261,a32efb9778,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 23092017 - 3 Quick Methods To Remove Dark Spots At Home","3 Quick Methods To Remove Dark Spots At Home","Latest News","23 Sep 2017 11:00 am",Saturday,2751,2750,1,0,1,0,0,603,21.93%,1062,189,6.87%,209,8,0,0,6261,9ea9e8b924,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Discover Launch Actual","💌Psst: Try Discover and Get S$15 On Us!😱","Paula's Choice Subscribers","10 Sep 2017 12:00 pm",Sunday,7351,7333,11,7,18,0,0,1862,25.39%,3600,415,5.66%,648,31,0,0,0,09a214cf4f,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 090092017","Causes of brown spots and how to get rid of them","Latest News","09 Sep 2017 10:00 am",Saturday,2757,2754,2,1,3,0,0,559,20.30%,955,153,5.56%,238,4,0,0,6261,ac457d587a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 26082017","😚 Skin Pigmentation Treatment Methods","Latest News","26 Aug 2017 11:00 am",Saturday,2772,2769,2,1,3,0,0,675,24.38%,1379,209,7.55%,251,14,0,0,6261,ade953ac95,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Resist Anti-Aging Eye Gel (actual)","😃Wake Up Those Eyes With Our New Anti-Aging Eye Gel😃","Paula's Choice Subscribers","25 Aug 2017 1:00 pm",Friday,7230,7211,14,5,19,0,0,1767,24.50%,2767,178,2.47%,221,42,0,0,0,72f2fb28c8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Resist Anti-Aging Eye Gel","😃Wake Up Those Eyes With Our New Anti-Aging Eye Gel😃","Marketing Exco List","21 Aug 2017 11:20 pm",Monday,3,3,0,0,0,0,0,2,66.67%,6,1,33.33%,5,0,0,0,0,d2f47a141c,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Refreshing Moisture Mist (Actual)","✨Refresh and Recharge with our New Refreshing Moisture Mist✨","Paula's Choice Subscribers","19 Aug 2017 12:00 pm",Saturday,7222,7196,17,9,26,0,0,2088,29.02%,3134,227,3.15%,289,52,0,0,0,12bd20db62,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 19082017","💦 How To Care For Oily Skin","Latest News","19 Aug 2017 11:00 am",Saturday,2773,2770,3,0,3,0,0,642,23.18%,984,162,5.85%,174,2,0,0,6261,dbbe915f8c,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Refreshing Moisture Mist","✨Recharge and Refresh with our New Refreshing Moisture Mist✨","Marketing Exco List","19 Aug 2017 3:01 am",Saturday,3,3,0,0,0,0,0,1,33.33%,2,0,0.00%,0,0,0,0,0,74a3d16722,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 12082017","👶 Basic Skincare Tips For Kids","Latest News","12 Aug 2017 11:00 am",Saturday,2783,2781,2,0,2,0,0,745,26.79%,1069,99,3.56%,109,9,0,0,6261,c2d8a80582,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 29072017","💨 The Haze May Be Coming Back! Use These Tips To Protect Your Skin.","Latest News","29 Jul 2017 10:00 am",Saturday,2789,2786,3,0,3,0,0,651,23.37%,1042,119,4.27%,134,8,0,0,0,7f7ddca980,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
