Category1,Category2,Category3,Name,Price,Description,Variation,Rating,No_of_reviews
Skincare,Face,Facial Cleanser,CALM SENSITIVE CLEANSER (NORMAL / DRY),36.00,"This silky lotion cleanser softens and refines skin while removing makeup and impurities. Formulated with the most soothing ingredients, it’s gentle enough even for skin prone to rosacea.
Extra Sensitive Skin, Redness
Promotes healthy-looking skin & eases redness
Light lathering formula won’t leave skin feeling tight
Use as the first step in your AM/PM skincare routine
Why is it different?
Calm Sensitive Cleanser (Normal / Dry) offers the ease of a rinse-off cleanser with the soothing milky texture of a mild cleansing lotion. It’s formulated with soothing plant extracts and skin-replenishing ingredients to cushion skin as the delicate cleansing agents remove makeup and refine skin.
All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.
What does it do?
Gently cleanses to remove impurities, excess oil, and makeup. This clean-rinsing formula leaves skin feeling refreshed and soothed, never dry or tight.
How to use
Wet face and apply a small amount of cleanser to your face and eye area with vigorous, yet gentle, circular motions. Rinse well. To remove heavy makeup, repeat or use with a clean, wet washcloth.
KEY INGREDIENTS
Glyceryl Stearate, Cocamidopropyl Betaine, Sodium PCA, Sodium Hyaluronate, Aloe Juice
PRODUCT INGREDIENTS
Water, Sodium Laureth Sulfate (cleansing), Glycol Stearate (texture-enhancing), Methyl Gluceth-20 (emollient), Glyceryl Stearate (texture-enhancing), Hydroxyethylcellulose (texture-enhancing), Chamomilla Recutita Matricaria Flower Extract (chamomile/skin-soothing), Aloe Barbadensis Leaf Juice (hydration/skin-soothing), Cocamidopropyl Betaine (cleansing), Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate (cleansing), Sodium Hyaluronate (hydration/skin replenishing), Sodium PCA (hydration/skin replenishing), Caprylyl Glycol (preservative), Hexylene Glycol (preservative), Propylene Glycol (hydration), Citric Acid (pH balancer), Phytic Acid (stabilizer), Phenoxyethanol (preservative).","198 ml,Sachet",3.0,2
Skincare,Face,Facial Cleanser,HYDRALIGHT ONE STEP FACE CLEANSER,34.00,"A unique gel cleanser that easily removes excess oil, impurities, and makeup while leaving skin feeling refreshed and smooth.
Brown Spots, Extra Sensitive Skin, Redness, Rosacea
Oily, Combination Skin
Mild cleansing promotes healthy, luminous skin
Lightweight but concentrated gel formula
Why is it different?
Hydralight One Step Face Cleanser is an exceptionally gentle gel cleanser that effectively removes impurities and makeup while delivering a refreshed, refined complexion without dryness or residue. Even the most sensitive skin types can use this carefully formulated cleanser.
All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.
What does it do? 
Skin replenishing ingredients along with mild, but effective cleansing agents preserve skin’s vital moisture barrier leaving skin free from impurities. Skin will feel refreshed and comfortably clean.
Who is this product for? 
Hydralight One Step Face Cleanser is ideal for those whose skin has minimal to visibly oily areas anywhere on the face. It is also ideal for those struggling with an oily T-zone (forehead, nose and chin) yet dry skin everywhere else.
How to use 
Wet face and apply a small amount of cleanser to your face and eye area with vigorous, yet gentle, circular motions. Rinse well. To remove heavy makeup, repeat or use with a clean, wet washcloth.
KEY INGREDIENTS
Sodium PCA, Allantoin, Sodium Hyaluronate, Glycerin
PRODUCT INGREDIENTS
Water, Glycerin (skin-replenishing ingredient), Sodium Laureth Sulfate (gentle cleansing agent), Sodium PCA (skin-replenishing ingredient), Sodium Lactate, Glycine, Fructose, Urea, Niacinamide, Inositol (water-binding agents), Sodium Benzoate (preservative), Lactic Acid (water-binding agent), Allantoin (soothing agent), Sodium Hyaluronate (skin-replenishing ingredient), PEG-7 Glyceryl Cocoate (texture enhancer), Sodium Hydroxymethylglycinate (stabilizer), Sodium Methyl Cocoyl Taurate (gentle cleansing agent), Xanthan Gum (texture enhancer), Triethanolamine (pH balancer), Carbomer (texture enhancer), Benzophenone-3 (stabilizer),Methylparaben, Propylparaben (preservatives).","237 ml,473 ml,Sachet",4.5,2
Skincare,Face,Facial Cleanser,PERFECT CLEANSING OIL,1.50,"This skin-replenishing blend of plant oils rapidly dissolves makeup and whisks away impurities, while leaving skin soft and smooth—with no greasy residue.
Effortlessly removes makeup (even waterproof)
Sunflower & coconut oils hydrate & nourish skin
Creates a milky emulsion when mixed with water
Use as the first step in your AM/PM skincare routine
Why is it different?
Infused with five plant oils specifically chosen for their ability to break down makeup and facial debris, this luxe-feeling cleansing oil nurtures skin’s moisture balance. The fragrance-free formula is gentle, yet works incredibly fast, leaving nothing but silky, clean skin.

All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.

What does it do?
Sunflower, coconut, meadowfoam, jojoba and grape seed oils come together to simultaneously cleanse and replenish skin’s barrier. This innovative mix forms a milky emulsion when mixed with water, to remove stubborn impurities and even the most tenacious makeup.

How to use
Apply a small amount of cleanser (1-2 pumps) to wet or dry skin with gentle circular motions. Rinse well. To remove heavy makeup, repeat or use with a clean, wet washcloth.
  PRODUCT INGREDIENTS
Caprylic/Capric Triglyceride (emollient/texture enhancer), Helianthus Annuus (Sunflower) Seed Oil (hydration/non-fragrant plant oil), MIPA-Laureth Sulfate (cleansing agent), Laureth-3 (emulsifier), Laureth-7 Citrate (cleansing agent), Triethylhexanoin (hydration), Cocos Nucifera (Coconut) Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil (non-fragrant plant oils), Butyrospermum Parkii (Shea) Butter (emollient), Tocopherol (vitamin E/antioxidant), Phenoxyethanol (preservative), Ethylhexylglycerin (hydration).","118 ml,Sachet",2.5,2
Skincare,Face,Facial Cleanser,SKIN BALANCING OIL-REDUCING CLEANSER,34.00,"This blend of gentle cleansing ingredients thoroughly removes makeup, excess oil and impurities while soothing skin.
Removes impurities and makeup
Cleanses skin without drying
Leaves skin feeling Smoother, Softer and Comfortable
Remove excess oil
Refines skin's normal balance
Why is it different?
Skin Balancing Oil-Reducing Cleanser quickly dissolves makeup and removes impurities while refining skin’s normal balance. The gentle foaming formula also works to improve the appearance of enlarged, congested pores
All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.

What does it do?
Works quickly to remove excess oil and makeup as it visibly refines the look of enlarged pores, leaving skin feeling exceptionally clean, smooth, and balanced without any dryness or a tight feel.
Who is it for?
The Skin Balancing Oil-Reducing Cleanser is for those with normal to oily/combination skin who prefer a cream-to-foam cleanser that can be used around the eyes and rinses without leaving a residue.
How to use
Wet face and apply a small amount of cleanser to your face and eye area with vigorous, yet gentle, circular motions. Rinse well. To remove heavy makeup, repeat or use with a clean, wet washcloth.
KEY INGREDIENTS
Sunflower Seed Oil, Aloe Barbadensis, Stearic Acid, Glycerin, Cetearyl Alcohol

PRODUCT INGREDIENTS
Water (Aqua), Sodium Cocoyl Isethionate (cleansing), Sodium Lauroamphoacetate (cleansing), Stearic Acid (texture-enhancing), Glycerin (hydration/skin replenishing), Glycol Distearate (texture-enhancing), Helianthus Annuus Seed Oil (sunflower oil/non-fragrant oil/antioxidant), Acrylates Copolymer (texture-enhancing), Cetearyl Alcohol (texture-enhancing), Aloe Barbadensis Leaf Extract (hydration/skin-soothing), Sodium Chloride (stabilizer), Sodium Hydroxide (pH balancing), Xanthan Gum (texture-enhancing), Caprylyl Glycol (preservative), Hexylene Glycol (preservative), Disodium EDTA (stabilizer), Phenoxyethanol (preservative).","237 ml,473 ml,Sachet",4.545454545454546,11
Skincare,Face,Toner,CALM SENSITIVE TONER (NORMAL / DRY),34.00,"This toner calms the appearance of redness and soothes sensitive skin while skin-replenishing ingredients nourish and hydrate.
Extra Sensitive Skin, Redness
Normal to Dry Skin
Provides nourishing antioxidants
Tones down redness & preserves the surface of skin
Milky, soothing texture hydrates & reestablishes healthy-looking skin
Use twice daily after cleansing skin
Why is it different?
Calm Sensitive Toner (Normal / Dry) is a beneficial milky fluid with a unique mix of hydrating, skin-replenishing, and anti-aging ingredients that smooth, soften, and visibly lessen redness. It is an essential step in any skincare routine to renew skin after cleansing. Can also help remove the last traces of makeup.
All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.
What does it do?
Instantly soothes sensitive skin while its specialized mix of antioxidants and skin-replenishing ingredients nourishes and hydrates for visibly healthier-looking, more resilient skin. With ongoing use, helps fight visible signs of redness and wrinkles. It is gentle enough even for skin prone to rosacea.
How to use
After cleansing, apply toner to a cotton pad and gently stroke over face and neck. Do not rinse. Follow with the rest of your morning or evening skincare routine. For daytime, finish with a broad-spectrum sunscreen rated SPF 30 or greater.
KEY INGREDIENTS
Sodium Hyaluronate, Linolenic Acid, Phospholipid, Epigallocatechin Gallate, Caprylic/Capric Triglyceride, Carnosine, Allantoin, Licorice Extract, Oleic Acid, Boerhavia Diffusa Root Extract, Glycerin, Willow Herb, Palmitic Acid, Genistein, Dipotassium Glycyrrhizate, Hydrogenated Lecithin, Linoleic Acid
PRODUCT INGREDIENTS
Water, Glycerin (hydration/skin replenishing), Cyclopentasiloxane (hydration), Glycerth-26 (emollient), Allantoin (skin-soothing), Genistein (antioxidant), Carnosine (antioxidant/skin-soothing), Dipotassium Glycyrrhizate (skin-soothing), Epigallocatechin Gallate (antioxidant), Glycyrrhiza Glabra Root Extract (licorice extract/skin-soothing), Boerhavia Diffusa Root Extract (antioxidant/skin-soothing), Caprylic/Capric Triglyceride (skin replenishing/emollient), Dimethiconol (hydration), Sodium Hyaluronate (hydration/skin replenishing), Oleic Acid (skin replenishing), Linolenic Acid (skin replenishing), Palmitic Acid (skin replenishing), Linoleic Acid (skin replenishing), Phospholipids (skin replenishing), Epilobium Angustifolium Flower/Leaf/Stem Extract (willow herb extract/skin-soothing), Polysorbate 20 (texture-enhancing), Hydrogenated Lecithin (skin replenishing), Acrylates/C10-30 Alkyl Acrylate Crosspolymer (texture-enhancing), Xanthan Gum (texture-enhancing), Laureth-4 (texture-enhancing), Laureth-23 (texture-enhancing), Sodium Hydroxide (pH adjuster), Butylene Glycol (hydration), Disodium EDTA (stabilizer), Ethylhexylglycerin (preservative), Phenoxyethanol (preservative).","118 ml,Sachet",5.0,1
Skincare,Face,Toner,MOISTURE BOOST ESSENTIAL HYDRATING TONER,34.00,"This silky, hydrating toner soothes and renews skin while fighting signs of aging.
For Normal; Dry to Very Dry Skin
Antioxidants help protect against environmental stress
Moisture-rich liquid soothes and hydrates
Use twice daily after cleansing
Why is it different?
This rich, creamy liquid is 100% fragrance-and-alcohol-free. It immediately soothes and rehydrates even the most sensitive skin while gently eliminating any trace makeup left after cleansing, leaving your complexion soft and refined.

All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.

What does it do?
Green tea and grape leaf extract (powerful antioxidants) lessen the appearance of damage caused by environmental factors like pollution, which can lead to sagging, wrinkles, and dull skin tone. Skin-restoring sodium PCA and fatty acids help replenish then protect the skin’s natural moisture barrier.

How to use
Apply once or twice daily after cleansing and/or toning. Lightly soak a cotton pad and apply over the entire face, including the eye area (avoid lash line and eyelids). Do not rinse. For daytime, follow with a broad-spectrum sunscreen rated SPF 30 or greater in the final step of your routine.
PRODUCT INGREDIENTS
Water (Aqua), Glycerin, Pentylene Glycol, Polysorbate 20, Superoxide Dismutase, Camellia Sinensis (Green Tea) Leaf Extract, Epilobium Angustifolium (Willow Herb) Flower/Leaf/Stem Extract, Vitis Vinifera (Grape) Seed Extract, Sodium PCA, Creatine, Lecithin, Linoleic Acid, Linolenic Acid, Sodium PEG-7 Olive Oil Carboxylate, Magnesium Ascorbyl Phosphate, Tocopheryl Acetate, Butylene Glycol, Panthenol, Allantoin, PEG-4, Hydroxyethylcellulose, Phenoxyethanol.","190 ml,Sachet",0,0
Skincare,Face,Toner,SKIN RECOVERY ENRICHED CALMING TONER,34.00,"This hydrating toner soothes dry, flaky skin and helps revitalize and recover moisture loss while infusing skin with anti-aging antioxidants.
For Normal to Dry Skin
Improve and help defend against dehydration, environmental stress, and aging
Nourishes and comforts dry skin
Antioxidant-rich plant oils soothe and protect skin
Milky, hydrating formula
Why is it different?
Skin Recovery Enriched Calming Toner offers an oasis of relief to dry, thirsty skin. This carefully blended formula contains essential ingredients dry skin needs to improve and help defend against dehydration, environmental stress, and aging. It is an essential step in any skincare routine to renew skin after cleansing. Can also help remove the last traces of makeup.
All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.
What does it do?
Delivers key ingredients like skin-defending antioxidants, essential lipids and skin-restoring ingredients to help eliminate dry, flaky skin as it hydrates and leaves skin feeling smooth. It is so gentle, it’s suitable even for skin prone to eczema.
How to use
After cleansing, apply toner to a cotton pad and gently stroke over face and neck. Do not rinse. Follow with the rest of your morning or evening skincare routine. For daytime, finish with a broad-spectrum sunscreen rated SPF 30 or greater.
KEY INGREDIENTS
Glycerin, Borage Seed Oil, Ascorbyl Palmitate, Vitamin E, Vitamin C, Allantoin, Evening Primrose Oil, Tocopherol, Superoxide Dismutase, Tocopheryl Acetate, Panthenol, Niacinamide, Sodium Hyaluronate, Hydrogenated Lecithin
PRODUCT INGREDIENTS
Water (Aqua), Cyclopentasiloxane (hydration), Butylene Glycol (hydration), Glycereth-26 (hydration/texture-enhancing), Dimethiconol (hydration), Oenothera Biennis Oil (evening primrose oil/non-fragrant oil/antioxidant), Borago Officinalis Seed Oil (borage oil/non-fragrant oil/antioxidant), Sodium Hyaluronate (hydration/skin replenishing), Tocopheryl Acetate (vitamin E/antioxidants), Tocopherol (vitamin E/antioxidants), Ascorbyl Palmitate (vitamin C/antioxidant), Panthenol (skin replenishing), Allantoin (skin-soothing), Glycerin (hydration/skin replenishing), Hydrogenated Lecithin (skin-restoring), Caprylic/Capric Triglyceride (emollient), Niacinamide (vitamin B3/skin-restoring), Superoxide Dismutase (antioxidant), PEG-40 Hydrogenated Castor Oil (emollient), Linoleamidopropyl PG-Dimonium Chloride Phosphate (stabilizer), Laureth-4 (texture-enhancing), Laureth-23 (texture-enhancing), Disodium EDTA (stabilizer), Sodium Benzoate (preservative), Chlorphenesin (preservative), Phenoxyethanol (preservative), Benzoic Acid (preservative), Sorbic Acid (preservative).","190 ml,Sachet",4.5,2
Skincare,Face,Exfoliator,CALM SENSITIVE 1% BHA LOTION,40.00,"A completely gentle, non-abrasive, leave-on exfoliant that sheds built-up layers of dead skin to reveal the hidden radiant skin beneath. Perfect for someone with sensitive skin who wants to visibly diminish pore size and the appearance of wrinkles and ease redness.
For All Skin Types
Salicylic acid (BHA) provides gentle exfoliation
Reveals glowing, hydrated skin
Lightweight lotion is perfect for sensitive skin
Use twice daily after cleansing & toning skin
Why is it different?
Calm Redness Relief 1% BHA Lotion Exfoliant is a leave-on, sheer lightweight lotion with a texture that works to soothe redness and smooth away dry skin with skin-plumping hydration. It also diminishes the appearance of wrinkles and lessens the size of pores.
This exfoliant has an optimal pH range of 3.2–3.8
All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.

What does it do?
Gently exfoliates skin’s surface as well as inside the pores to enhance skin renewal, while hydrating and soothing ingredients promote visibly calm, even-toned skin. Skin-soothing plant extracts ease extra-sensitive, red skin for a more unified, healthier-looking appearance. Helps unclog and refine the look of enlarged pores and diminishes the appearance of wrinkles. Gentle enough even for those with skin prone to rosacea.

How to use
Apply once or twice daily after cleansing and toning. Apply a dime-sized amount over the entire face, including the eye (avoid the lower lash line and eyelids). Do not rinse. For daytime, follow with a broad-spectrum sunscreen rated SPF 30 or greater.
KEY INGREDIENTS
Beta-Glucan, Allantoin, Green Tea, Licorice Root, Willow Herb, Lauric Acid, Salicylic Acid
PRODUCT INGREDIENTS
Water (Aqua), Butylene Glycol (hydration), Cetyl Alcohol (texture-enhancing), Magnesium Aluminum Silicate (stabilizer), Salicylic Acid (beta hydroxy acid/exfoliant), Cyclopentasiloxane (hydration), Ammonium Acryloyldimethyltaurate/VP Copolymer (texture-enhancing), Camellia Sinensis Leaf Extract (green tea extract/skin-soothing/antioxidant), Glycyrrhiza Glabra Root Extract (licorice extract/skin-soothing), Epilobium Angustifolium Flower/Leaf/Stem Extract (willow herb extract/skin-soothing), Beta-Glucan (skin-soothing/antioxidant), Allantoin (skin-soothing), Dimethicone (hydration), Glycerin (skin replenishing), Lauric Acid (skin replenishing), Sorbitan Stearate (texture-enhancing), PEG-40 Stearate (texture-enhancing), Polysorbate 20 (texture-enhancing), Xanthan Gum (texture-enhancing), Caprylyl Glycol (preservative), Hexylene Glycol (hydration), Sodium Hydroxide (pH adjuster), Disodium EDTA (stabilizer), Ethylhexylglycerin (preservative), Phenoxyethanol (preservative).","100 ml,Sachet",3.8,5
Skincare,Face,Exfoliator,RESIST ADVANCED PORE-REFINING TREATMENT 4% BHA (SALICYLIC ACID),55.00,"When it’s time to take it to the next level, this powerful-yet-gentle, antioxidant-rich exfoliant goes deep to unclog pores for smoother younger-looking skin.
Wrinkles, Enlarged Pores, Anti-Aging, Bumpy Skin
Normal to Oily; Combination Skin
BHA clears & minimizes the look of congested pores
Antioxidants visibly fight signs of aging
Lightweight serum texture for all skin types
Apply after cleansing & toning
Why is it different?
The unique, high-concentration of 4% BHA goes deep to exfoliate skin quickly so problematic pores, bumps, and uneven skin texture are improved in half the time. The time-released formula delivers dramatic results, while antioxidants revive skin’s firm appearance for a more youthful look—all with a luxe serum-gel texture that glides over skin for a soothing finish.
This exfoliant has an optimal pH range of 3.5–4.0.

All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.

What does it do?
Skin becomes dull, dry and congested when dead skin cells build up on its surface. BHA (beta hydroxy acid) mimics the natural exfoliation process of younger skin by helping it shed extra layers while unclogging and clearing pores. Antioxidants step in to further reduce visible signs of aging.

How to use
Use after cleansing and toning, daily or weekly. Dispense one pump and smooth over face, neck and chest. Do not rinse. Follow with the rest of your evening skincare routine.
PRODUCT INGREDIENTS
Water (Aqua), Butylene Glycol (slip agent/hydration), Dimethicone (silicone slip agent), Salicylic Acid (exfoliant), Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer (texture enhancer), Glycerin (skin-replenishing), Aminomethyl Propanol (pH adjuster), Adenosine (skin-restoring), Allantoin (skin-soothing), Dipotassium Glycyrrhizinate (skin-soothing), Vitis Vinifera (Grape) Seed Extract (antioxidant), Avena Sativa (Oat) Bran Extract (skin-soothing), Punica Granatum Fruit Extract (antioxidant), Sambucus Nigra Fruit Extract (antioxidant), Camellia Oleifera (Green Tea) Leaf Extract (antioxidant), Camellia Sinensis (Green Tea) Leaf Extract (antioxidant), Chamomilla Recutita (Matricaria) Flower Extract (skin-soothing), Lycium Barbarum Fruit Extract (antioxidant), Peucedanum Graveolens (Dill) Extract (antioxidant), Hydrogenated Lecithin (skin-restoring/hydration), Xanthan Gum (texture enhancer), Citric Acid (pH adjuster), Disodium EDTA (chelating agent), Benzyl Alcohol (preservative), Phenoxyethanol (preservative).","30 ml,Sachet",5.0,1
Skincare,Face,Exfoliator,RESIST DAILY SMOOTHING TREATMENT 5% AHA (GLYCOLIC ACID),51.00,"A daily leave-on AHA exfoliant that reveals a truly smoother, more radiant, even-toned complexion by helping skin naturally exfoliate as younger skin does.
Renews the appearance of dry, sun-damaged skin
Naturally exfoliates dead skin cells
Lightweight, hydrating lotion consistency
Use once or twice daily after cleansing & toning
Why is it different?
Resist Daily Smoothing Treatment 5% AHA (Glycolic Acid) refines the surface of skin with exceptionally gentle and completely non-abrasive exfoliation. It also offers additional benefits, including hydration, soothing antioxidants, and a mix of fortifying skin-restoring ingredients.
This product has an optimal pH range of 3.5–3.9.
All Paula’s Choice products are 100% fragrance free, clinically proven to be non-irritating, and never tested on animals.

What does it do?
Reveals youthful radiant skin and helps reduce the appearance of fine lines and wrinkles. This innovative daily-use formula continually revitalizes skin’s texture, visibly evens skin tone, and helps promote visibly firmer-looking, smoother skin. A specially selected mix of antioxidants helps fight the impact of free-radical damage, while ceramides and peptides bind moisture for beautifully radiant skin.

How to use
Apply once or twice daily after cleansing and toning. Apply a dime-sized amount over the entire face, avoiding direct contact with eyes and lips. Do not rinse. For daytime, follow with a broad-spectrum sunscreen rated SPF 30 or greater.
When using your product for the first time, you may need to “prime” the dispenser. To prime, simply pump the dispenser slowly about 10-15 times. If the dispenser stops working at any time, simply repeat the ""priming"" step. Do not attempt to dismantle the package.

Sun Protection Advice When Using Any AHA Exfoliant: This product contains 5% glycolic acid, an ingredient that may increase your skin's sensitivity to the sun and the possibility of sunburn. Always apply a broad-spectrum sunscreen rated SPF 30 or greater every day. When outdoors, wear protective clothing whenever possible, seek shade, and avoid prolonged sun exposure.
KEY INGREDIENTS
Epigallocatechin Gallate, Tetrahydrodemethoxydiferuloylmethane, Cucumis Melo (Melon) Fruit Extract, Ceramide NS, Palmitoyl Oligopeptide, Allantoin, Tetrahydrobisdemethoxydiferuloylmethane, Bisabolol, Salicylic Acid, Vitamin E, Glycolic Acid, Tetrahydrodiferuloylmethane
PRODUCT INGREDIENTS
Water (Aqua), Glycolic Acid (alpha hydroxy acid/exfoliant), Cetyl Alcohol (texture-enhancing), Butylene Glycol (hydration), Dimethicone (hydrations/texture enhancer), Polyacrylamide (texture-enhancing), PPG-14 Butyl Ether (texture-enhancing), Palmitoyl Hexapeptide-12 (skin-restoring ingredient), Ceramide NG (skin replenishing), Tetrahydrodiferuloylmethane, Tetrahydrodemethoxydiferuloylmethane, Tetrahydrobisdemethoxydiferuloylmethane (skin-soothing/antioxidants derived from curcumin), Epigallocatechin Gallate (antioxidant), Salicylic Acid (BHA exfoliant/skin-soothing), Disodium Lauriminodipropionate Tocopheryl Phosphates (vitamin e based antioxidant), PEG-10 Phytosterol, Cucumis Melo (Melon Fruit Extract (antioxidant), Bisabolol (skin-soothing), Allantoin (skin-soothing), Cyclopentasiloxane, Cyclohexasiloxane, Dimethiconol (hydrations/texture enhancers), Tribehenin (texture enhancer), Polysorbate 20 (texture-enhancing), C12-15 Alkyl Benzoate, PEG-40 Stearate, Sorbitan Stearate (texture-enhancings), PVM/MA Decadiene Crosspolymer, Disodium EDTA (stabilizer), C13-14 Isoparaffin (solvent), Laureth-7 (texture-enhancing), Sodium Hydroxide (pH adjuster), Caprylyl Glycol (preservative), Ethylhexylglycerin (skin conditioning agent), Hexylene Glycol (solvent), Phenoxyethanol (preservative).","50 ml,10 ml,Sachet",4.5,2
