Name,Rating,Title,Content
CALM SENSITIVE CLEANSER (NORMAL / DRY),3,PACKAGING CAN BE IMPROVED,"Like the other review here, packaging should be changed because the products leak once it is opened.

This is a good, gentle cleanser but cannot be relied on to remove makeup. Also, i feel that it is a little pore clogging so more time should be spent when rinsing the product off. Find that it cleans much better when applied on dry skin and rubbed for a few minutes before adding water to lather it up."
CALM SENSITIVE CLEANSER (NORMAL / DRY),3,NICE PRODUCT BUT PACKAGING NOT SO GOOD FOR TRAVELLING,"I did like this product, from the little amount that was left in the bottle after I opened my toiletry bag and found it had leaked everywhere! It was brand new! Luckily I managed to salvage a small amount and liked the product, hence buying again to try it out again.

Warning: The bottle leaks when it is laid on its side so not good for travelling. Best to empty into travel size bottles to avoid wastage."
HYDRALIGHT ONE STEP FACE CLEANSER,4,RECOMMENDED!,My go to for extra oily days - I have combination skin.
HYDRALIGHT ONE STEP FACE CLEANSER,5,LOVE IT,"I have a combination skin. And I've used so many cleansers over the years and always had to switch. My surface skin dries out no matter how mild the cleanser is and causes clogged pores. This cleanser however does a good job of cleaning my skin without drying it out as much. Only issue is that with a combiation skin, my forehead and cheeks continue to get oily faster. I just use a clay mask on these areas once a week to clear hen abit more throughly while keeping the other areas away from too deep a cleanse. Love this product overall."
PERFECT CLEANSING OIL,2,BROKE ME OUT,"I am always on the look out for a cleansing oil of good value. Be sure to check the ingredient list. Unfortunately it broke me out, so I used the rest of the product to wash my make up brushes."
PERFECT CLEANSING OIL,3,GOOD MAKEUP REMOVER,Fragrance free and a blend of great oils. However all of it gets washed off if you second cleanse so cant recommend the high price.
SKIN BALANCING OIL-REDUCING CLEANSER,5,PERFECT FOR OILY SKIN,I love this cleanser. I use in the morning and night. It clean my skin without drying it out or making it feel tight and stretched.
SKIN BALANCING OIL-REDUCING CLEANSER,5,GREAT VALUE AND WORKS WELL TO REMOVE DIRT & MAKEUP!,"I buy the extra large bottle of this, it lasts for ages and works really well to remove oil (I live in the tropics), and makeup. Really great value product that I would recommend to folks with oily skin."
SKIN BALANCING OIL-REDUCING CLEANSER,5,CLEANSER OF CHOICE,"My night time cleanser, removes make up/sunscreen and fragance free been using this for years. I always get the big bottle lasts for ages and good value for money. Doesnt irritate or strip skin."
SKIN BALANCING OIL-REDUCING CLEANSER,4,EFFECTIVE CLEANSER,"Cleanse effectively without dehydration.

Good combination with it's toner."
SKIN BALANCING OIL-REDUCING CLEANSER,5,VALUE FOR MONEY,"Not overly drying, leaving skin feeling clean and well balanced"
CALM SENSITIVE TONER (NORMAL / DRY),5,DOES WHAT IT CLAIMS,I used to get the occasional random red patches on my face as I've got sensitive skin. This got rid of the redness entirely and has been a constant in my skincare routine since.
SKIN RECOVERY ENRICHED CALMING TONER,5,GREAT CALMING TONER,"I have got really dry skin most of the time which acts up a week before my period. This toner is not only non irritating to my sensitive skin but helps to calm it down, giving a clean surface before my next few steps (serum.. moisturiser)!"
SKIN RECOVERY ENRICHED CALMING TONER,4,REVIEW,Has been using this toner for a while and it helps to remove leftover dirts after facial cleansing
CALM SENSITIVE 1% BHA LOTION,5,GENTLE BUT EFFECTIVE!,"This did not irritate my highly sensitive skin but made it clearer and kept clogged pores at bay. I started with this nightly, and then now I rotate it with the 2% lotion. I will definitely repurchase."
CALM SENSITIVE 1% BHA LOTION,5,HIGHLY RECOMMENDED!,Effective keeping at bay PMS related breakouts - I use it every night under moisturiser.
CALM SENSITIVE 1% BHA LOTION,3,GOOD FOR SENSITIVE SKINS,"I have tried this, it works fine and it is a gentle exfoliant. As to reduce redness, I saw a bit of difference but not too much. Overall, I think this would suit very sensitive skin types."
CALM SENSITIVE 1% BHA LOTION,5,AMAZING,"Love the formula and the texture of this products

I was traveling in Europe for a month and this kept my skin problem free and also calms my skin down !"
CALM SENSITIVE 1% BHA LOTION,1,DOES NO DIFFERENCE AS COMPARED TO SKIN PERFECTING 1% BHA LOTION EXFOLIANT,"I was previously using the Skin Perfecting 1% BHA Lotion Exfoliant before this calm series was released as a better version.
There is no positive outcome from using this product, and it is unfortunate that the Skin Perfecting 1% BHA Lotion Exfoliant has been replaced by this."
