product_handle,state,rating,title,author,location,body,reply,created_at,replied_at
resist-foaming-cleanser,published,5,Good cleanser ,Jeannie,,"A lotion based cleanser, slight foam. Face feels clean and soft after washing. ",,2016-12-02 12:08:24 UTC,
resist-vitamin-c-spot-treatment,published,1,No effect,Yan,,"Unfortunately, it did not work on my pigmented spots and post pimple mark and I only have 2. It stung slighly when I applied on my spots so it is better to apply at night. Based on the price i had paid and the results it promises to deliver, this one does not work for me.
Skin type: sensitive & dehydrated
Age: 29",,2016-12-03 13:26:10 UTC,
calm-redness-relief-moisturizer-normal-to-dry,published,2,Not Suitable for My Sensitive Skin,Linda,,"I had wanted to transit from the Hydralight Moisturizer and Skin Balancing Toner to this range, in hope that it would suit my sensitive skin better.
This moisturizer is of a different texture, thicker consistency and in brown, and I like that it feels lightweight despite.
Unfortunately this product is unsuitable, and does not nothing to improve my skin condition
-I had experienced clogged pores and bumps after one month of usage.",,2016-12-08 07:21:26 UTC,
calm-redness-relief-1-bha-lotion,published,1,Does No Difference as compared to Skin Perfecting 1% BHA Lotion Exfoliant,Linda,,"I was previously using the Skin Perfecting 1% BHA Lotion Exfoliant before this calm series was released as a better version.
There is no positive outcome from using this product, and it is unfortunate that the Skin Perfecting 1% BHA Lotion Exfoliant has been replaced by this.",,2016-12-08 07:28:12 UTC,
skin-balancing-pore-reducing-toner,published,3,Stings my face after prolonged usage,Linda,,"This was the first toner I had purchased, and I loved how it cleanses my pores. However, after 1-2 months of usage, my face started to have stinging sensation each time I apply it. I have since moved on to Earth Sourced toner, and hope it work well with my skin in time to come.",,2016-12-08 07:32:38 UTC,
clear-regular-strength-anti-redness-exfoliating-solution,published,1,Makes skin reactive,Linda,,"BHA 1% is just right while BHA 2% is too strong for my face. It was with the recommendation that I try this product as it is deemed as an in-between. Unfortunately, this product makes my skin active with bumps, and it stings upon application. ",,2016-12-08 07:35:18 UTC,
resist-moisture-renewal-oil-booster,published,2,Lightweight but clogs my pores,Linda,,"I like how this feels lightweight and has no fragrance, and would love it to be suitable for my skin -It clogs my pores and does not seem to relive the dryness of my skin's inner layers.",,2016-12-08 07:37:30 UTC,
resist-retinol-skin-smoothing-body-treatment,published,3,Does not like it,Linda,,"I am still trying to finish it after a year.
The cream is thick in consistency, making it difficult to apply.

I was diligent in its initial application, and did not see any improvement to my skin. As it feels that it might be to strong for my skin, I had reduced its application to once a week. However, my skin still feels bumpy and reactive after.",,2016-12-08 07:41:19 UTC,
resist-hyaluronic-acid-booster,published,3,Would not re-purchase,Linda,,"I had finished the whole bottle and does not feel any improvement to my skin; skin does not feel hydrated.
I have combination skin which is oily on the surface and dry on the inner layers.",,2016-12-08 07:43:14 UTC,
skin-balancing-invisible-finish-moisture-gel,published,5,Personally my HG moisturiser,Ana,,"I have complicated sensitive/oily/clog-prone skin, and have tried all sorts of products from high-end brands to drugstore ones. l
I apply this day and night to damp skin after cleansing, massage it lightly until it's fully absorbed, and follow it up with organic jojoba oil. My skin feels so supple and baby soft afterwards! I also love the finish, even when layered with makeup.
The tube looks small, but one has personally lasted me 4 months (as mentioned, I apply on damp skin, so it helps on the spreadability, and you really just need a small amount).
Thanks PC team for ending my long and painful search for a suitable moisturiser! ",,2016-12-11 06:23:48 UTC,
skin-balancing-pore-reducing-toner,published,5,Great moisturising toner,Ana,,"I've been using the moisturiser from the same line, and thought I should give this toner a try since it boasts a really good list of ingredients. I'm really glad I did! Coupled with the moisture gel, my skin feels super moisturised throughout the day and night. Also, a single bottle lasts me forever, and I use like 5-7 drops each time. It's really value for money, and great for my oily, clog-prone sensitive skin too. Not sure about the stinging sensation from the other reviewer, but I use a vitamin c serum (I layer the toner afterwards) so perhaps my skin is used to it.",,2016-12-11 06:31:49 UTC,
resist-whitening-essence,published,5,wow,YOHANA SUHARTI,,"good product  ,smooth, soft, soothing",,2016-12-15 09:05:08 UTC,
