id,name,created_time,link,message,likes,comments,shares
1688980774667861_2115751341990800,February Favourites 2018 | Skincare & Beauty,2018-03-02T09:08:47+0000,https://www.youtube.com/watch?v=6aRBJn_ZRSk,Beauty Blogger Trish Young loves our new Clinical Ceramide Moisturizer & Charcoal Gel Mask!,4,0,0
1688980774667861_2115106695388598,The Secret is Out - Exfoliation is In!,2018-03-01T06:36:49+0000,https://www.facebook.com/paulaschoicesingapore/videos/2115106695388598/,"We're giving away our 2 of our most popular AHA & BHA exfoliants to you and a friend every week!

The Skin Perfecting 2% BHA Liquid is great for #acne, as well as clogged & enlarged pores.

The Skin Perfecting 8% AHA Gel smoothens uneven skin and #wrinkles to reveal radiant, younger-looking skin.

Simply tag a friend and comment ""AHA"" or ""BHA"" for a chance to win!

2 sets of #giveaway winners will be chosen every Thursday. Happy exfoliating :)",21,47,6
1688980774667861_2109567562609178,Paula's Nighttime Routine | Paula's Choice Singapore & Malaysia,2018-02-19T11:38:05+0000,https://buff.ly/2ECoPv8,Learn more about what Paula uses for her daily nighttime routine!,7,0,3
1688980774667861_2096366077262660,The Complete Guide to Retinol: The Anti-Aging (and Anti-Acne) Hero,2018-01-26T15:52:08+0000,http://advice.paulaschoice.sg/general/the-complete-guide-to-retinol-the-anti-aging-and-anti-acne-hero/,"Check out our latest guide to Retinol: the superstar anti-aging ingredient!

Shop Retinol Specials on Paulaschoice.sg from now till 31/1",21,1,1
1688980774667861_2094573880775213,MY SKINCARE ROUTINE - NOT SPONSORED!,2018-01-23T11:57:22+0000,https://www.youtube.com/watch?v=HQts7Xv-Y7k,Celebrity makeup artist Wayne Goss shares his daily skincare routine (hint: he loves PC)!,14,0,0
1688980774667861_2082049072027694,Timeline Photos,2017-12-31T16:10:29+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2082049072027694/?type=3,Happy New Year from all of us here at Paula's Choice Singapore!,8,0,0
1688980774667861_2073685086197426,Resist C15 Super Booster | Paula's Choice Singapore - YouTube,2017-12-15T07:58:53+0000,https://www.youtube.com/watch?v=w5CjJmuFasA,"Have you heard about our most popular booster yet - the Resist C15 Super Booster helps to lighten skin, even skin tone, and fight other signs of aging!",4,1,2
1688980774667861_2071670156398919,,2017-12-11T09:35:08+0000,https://www.facebook.com/paulaschoicesingapore/videos/2071670156398919/,"There's a reason why our Skin Perfecting 2% BHA exfoliant is loved by skincare junkies all over the world. #Acne? #Wrinkles? Uneven skin tone? You name it, it'll address it!",2,0,1
1688980774667861_2065445900354678,,2017-11-29T14:01:29+0000,,"#ChitChatWednesday Want to know what is the secret to younger looking skin? Comment ""I do"" below and we will gladly share that secret with you!",0,2,0
1688980774667861_2064945297071405,,2017-11-28T14:00:50+0000,,#QuickTipTuesday There are no set guidelines to what strength of retinol you should use because it depends on your skin type and your skin's tolerance to vitamin A. You should always begin with a lower concentration and monitor the effects it has on your skin.,2,0,0
1688980774667861_2064446107121324,,2017-11-27T14:00:44+0000,,"#BeautyMythMonday ""You can't use AHA and BHA exfoliants with Retinol.""

AHA and BHA exfoliators actually help products deliver their vitally important ingredients (like retinol) by removing the dead skin that limits their absorption.",1,0,0
1688980774667861_2024856641080271,Paula's Choice Singapore's cover photo,2017-11-27T04:19:39+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709745469258058.1073741829.1688980774667861/2024856641080271/?type=3,"Your personalized skincare routine in 3 easy steps. Try it today!
Paulaschoice.sg/discover",5,1,0
1688980774667861_2063043420594926,,2017-11-24T14:01:41+0000,,"#BeautyFactFriday Through experts worldwide consider pure retinol to be far more effective for anti-aging, you’ll also see derivatives like retinyl palmitate, retinaldehyde, retinyl retinoate, and retinyl proprionate widely used in skincare products. These ingredients are also effective, just that pure over-the-counter retinol is more of a powerhouse ingredient.",0,0,2
