,likes,comments,shares,Year,Month,no_link,youtube_link,facebook_link,paula_link,twitter_link,other_link,acne,beauty,best,bha,care,choice,ingredient,oily,paula,photo,pore,product,resist,retinol,routine,singapore,skin,skincare,sunscreen,timeline,number_of_words
0,4,0,0,2018,3,0,1,0,0,0,0,0.0,0.946002170416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32416028993,0.0,0.0,14
1,21,47,6,2018,3,0,0,1,0,0,0,0.261631585214,0.0,0.0,0.802517496118,0.0,0.0,0.0,0.0,0.0,0.0,0.253589676406,0.0,0.0,0.0,0.0,0.0,0.472447730509,0.0,0.0,0.0,76
2,7,0,3,2018,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.219553286436,0.0,0.0,0.665535603886,0.0,0.0,0.0,0.0,0.0,0.652880622524,0.287411911908,0.0,0.0,0.0,0.0,11
3,21,1,1,2018,1,0,0,0,1,0,0,0.309900952514,0.0,0.0,0.0,0.0,0.0,0.274366174564,0.0,0.0,0.0,0.0,0.0,0.0,0.910321153158,0.0,0.0,0.0,0.0,0.0,0.0,19
4,14,0,0,2018,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806125358171,0.0,0.0,0.591744798805,0.0,0.0,14
5,8,0,0,2017,12,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.416047339514,0.0,0.0,0.420390454094,0.374062444108,0.0,0.0,0.0,0.0,0.0,0.544637537588,0.0,0.0,0.0,0.462194459019,12
6,4,1,2,2017,12,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.263354498126,0.0,0.0,0.266103653455,0.0,0.0,0.0,0.78313129114,0.0,0.0,0.344751021697,0.357330894007,0.0,0.0,0.0,28
7,2,0,1,2017,12,0,0,1,0,0,0,0.543278839007,0.0,0.0,0.555476731676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49051962574,0.394568372298,0.0,0.0,30
8,0,2,0,2017,11,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25
9,2,0,0,2017,11,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585893468283,0.0,0.0,0.810388082232,0.0,0.0,0.0,45
10,1,0,0,2017,11,1,0,0,0,0,0,0.0,0.0,0.0,0.66169164797,0.0,0.0,0.286477311307,0.0,0.0,0.0,0.0,0.239203942915,0.0,0.633669843588,0.0,0.0,0.146078458831,0.0,0.0,0.0,32
